lat,lon,timezone,timezone_offset,dt,sunrise,sunset,moonrise,moonset,moon_phase,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather,clouds,pop,uvi,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,Day,rain
48.0448,7.308,Europe/Paris,7200,1649588400,1649567987,1649615654,1649589840,1649558640,0.28,1018,36,-1.39,2.76,128,7.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",73,0.0,5.95,13.71,1.02,16.15,9.96,12.32,1.02,12.08,8.96,11.15,-0.95,Today,
43.7497,6.3286,Europe/Paris,7200,1649588400,1649567987,1649615654,1649589840,1649558640,0.28,1018,36,-1.39,2.76,128,7.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",73,0.0,5.95,13.71,1.02,16.15,9.96,12.32,1.02,12.08,8.96,11.15,-0.95,Today,
45.1876,5.7358,Europe/Paris,7200,1649588400,1649567987,1649615654,1649589840,1649558640,0.28,1018,36,-1.39,2.76,128,7.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",73,0.0,5.95,13.71,1.02,16.15,9.96,12.32,1.02,12.08,8.96,11.15,-0.95,Today,
46.1591,-1.152,Europe/Paris,7200,1649588400,1649567987,1649615654,1649589840,1649558640,0.28,1018,36,-1.39,2.76,128,7.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",73,0.0,5.95,13.71,1.02,16.15,9.96,12.32,1.02,12.08,8.96,11.15,-0.95,Today,
49.4939,0.108,Europe/Paris,7200,1649588400,1649567987,1649615654,1649589840,1649558640,0.28,1018,36,-1.39,2.76,128,7.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",73,0.0,5.95,13.71,1.02,16.15,9.96,12.32,1.02,12.08,8.96,11.15,-0.95,Today,
50.6366,3.0635,Europe/Paris,7200,1649588400,1649567987,1649615654,1649589840,1649558640,0.28,1018,36,-1.39,2.76,128,7.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",73,0.0,5.95,13.71,1.02,16.15,9.96,12.32,1.02,12.08,8.96,11.15,-0.95,Today,
45.7578,4.832,Europe/Paris,7200,1649588400,1649567987,1649615654,1649589840,1649558640,0.28,1018,36,-1.39,2.76,128,7.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",73,0.0,5.95,13.71,1.02,16.15,9.96,12.32,1.02,12.08,8.96,11.15,-0.95,Today,
43.2962,5.37,Europe/Paris,7200,1649588400,1649567987,1649615654,1649589840,1649558640,0.28,1018,36,-1.39,2.76,128,7.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",73,0.0,5.95,13.71,1.02,16.15,9.96,12.32,1.02,12.08,8.96,11.15,-0.95,Today,
52.5094,4.9369,Europe/Amsterdam,7200,1649588400,1649567987,1649615654,1649589840,1649558640,0.28,1018,36,-1.39,2.76,128,7.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",73,0.0,5.95,13.71,1.02,16.15,9.96,12.32,1.02,12.08,8.96,11.15,-0.95,Today,
44.0176,1.355,Europe/Paris,7200,1649588400,1649567987,1649615654,1649589840,1649558640,0.28,1018,36,-1.39,2.76,128,7.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",73,0.0,5.95,13.71,1.02,16.15,9.96,12.32,1.02,12.08,8.96,11.15,-0.95,Today,
