Code_CIQUAL,Groupe_aliment,Sous-groupe_aliment,Nom_Produit_Francais,LCI_Name,Saisonnalite,Transport_par_avion_,Livraison,Materiau_emballage,Preparation,DQR_Note_qualite_la_donnee_,Score_unique_EF_,Score_unique_EF__Agriculture,Score_unique_EF__Transformation,Score_unique_EF__Emballage,Score_unique_EF__Transport,Score_unique_EF__Supermarche_distribution,Score_unique_EF__Consommation
25475,entrées et plats composés,sandwichs,"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre","Sandwich made with French bread, hard-boiled egg, raw vegetables (tomato and lettuce) and butter",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,1.87,0.37113212,0.25837256,0.056097693,0.028927574,0.016316285,0.0089786658,0.0024293397
25535,entrées et plats composés,sandwichs,"Sandwich baguette, merguez, ketchup moutarde","Sandwich made with French bread, merguez sausage, ketchup and mustard",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.28,0.4776308,0.34472669,0.085299509,0.02096839,0.015216235,0.0089786658,0.0024293397
25532,entrées et plats composés,sandwichs,"Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise","Sandwich made with French bread, egg, raw vegetables (tomato and lettuce) and mayonnaise",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.46,0.2962515,0.2124673,0.035545901,0.020552326,0.016276532,0.0089786658,0.0024293397
25519,entrées et plats composés,sandwichs,"Sandwich baguette, pâté, cornichons","Sandwich made with French bread, pâté and pickles",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.29,0.39186097,0.2694660599999999,0.070353616,0.02379192,0.016860315,0.0089786658,0.0024293397
25533,entrées et plats composés,sandwichs,"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise","Sandwich made with French bread, pork, raw vegetables (lettuce & tomato) and mayonnaise",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.27,0.37113212,0.25837256,0.056097693,0.028927574,0.016316285,0.0089786658,0.0024293397
25476,entrées et plats composés,sandwichs,"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise","Sandwich made with French bread, chicken, raw vegetables (lettuce & tomato) and mayonnaise",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.23,0.4527274,0.33705803,0.064781492,0.020552326,0.0189235559999999,0.0089786658,0.0024293397
25536,entrées et plats composés,sandwichs,"Sandwich baguette, salami, beurre","Sandwich made with French bread, salami and butter",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.27,0.64913286,0.48509164,0.094399891,0.0426602009999999,0.015548655,0.0089786658,0.0024293397
25520,entrées et plats composés,sandwichs,"Sandwich baguette, saucisson, beurre","Sandwich made with French bread, dry sausage and butter",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,1.89,0.4776308,0.34472669,0.085299509,0.02096839,0.015216235,0.0089786658,0.0024293397
25488,entrées et plats composés,sandwichs,"Sandwich baguette, saumon fumé, beurre","Sandwich made with French bread, smoked salmon and butter",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.98,0.28658718,0.19670789,0.033762604,0.020551983,0.024156311,0.0089786658,0.0024293397
25431,entrées et plats composés,sandwichs,"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise","Sandwich made with French bread, tuna, raw vegetables (tomato and lettuce) and mayonnaise",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.56,0.39599362,0.29613442,0.035200631,0.020552326,0.0326968079999999,0.0089786658,0.0024293397
25490,entrées et plats composés,sandwichs,"Sandwich baguette, thon, maïs, crudités","Sandwich made with French bread, tuna, sweet corn and raw vegetables",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.56,0.28658718,0.19670789,0.033762604,0.020551983,0.024156311,0.0089786658,0.0024293397
25429,entrées et plats composés,sandwichs,"Sandwich grec ou Kebab, baguette, crudités","Sandwich made with French bread, kebab and raw vegetables",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.37,1.4266517,1.3371774,0.043525322,0.020551507,0.016265156,0.0089786658,0.0024293397
25428,entrées et plats composés,sandwichs,"Sandwich grec ou Kebab, pita, crudités","Sandwich made with pita bread, kebab and raw vegetables",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.37,1.4266517,1.3371774,0.043525322,0.020551507,0.016265156,0.0089786658,0.0024293397
